"faixa_etaria","ano","sexo","tx_100mil","aumento"
"10 a 14 anos",2011,"F",6.70709614320679,0
"10 a 14 anos",2011,"M",2.42836079148145,0
"10 a 14 anos",2012,"F",8.92033289782049,32.9984349017472
"10 a 14 anos",2012,"M",3.10311420327315,27.7863740082897
"10 a 14 anos",2013,"F",11.4186521541941,70.2473307432666
"10 a 14 anos",2013,"M",3.59396484026486,47.9996239797762
"10 a 14 anos",2014,"F",12.6209739512198,88.1734461791311
"10 a 14 anos",2014,"M",3.97216765448911,63.5740318499316
"10 a 14 anos",2015,"F",16.0100453670312,138.70308439289
"10 a 14 anos",2015,"M",4.67724187572951,92.6090180724798
"10 a 14 anos",2016,"F",18.3830643600759,174.083805682358
"10 a 14 anos",2016,"M",5.12523921701391,111.057567516036
"10 a 14 anos",2017,"F",34.6601984187697,416.769070827692
"10 a 14 anos",2017,"M",7.6350762310548,214.412761803691
"10 a 14 anos",2018,"F",44.2793308996288,560.186315421713
"10 a 14 anos",2018,"M",8.92320896464936,267.458122201259
"10 a 14 anos",2019,"F",65.4950584080687,876.503944622959
"10 a 14 anos",2019,"M",11.8527632121576,388.097289897631
"10 a 14 anos",2020,"F",41.0410468839481,511.904854316366
"10 a 14 anos",2020,"M",7.50141241411721,208.908480174435
"10 a 14 anos",2021,"F",64.8678390177156,867.152365683862
"10 a 14 anos",2021,"M",9.57443766241112,294.275747491794
"15 a 19 anos",2011,"F",17.3467952358241,0
"15 a 19 anos",2011,"M",7.20055178965293,0
"15 a 19 anos",2012,"F",23.6170907630987,36.1467086111986
"15 a 19 anos",2012,"M",10.2705862930869,42.6361005811467
"15 a 19 anos",2013,"F",28.522174390217,64.4233070285738
"15 a 19 anos",2013,"M",12.7041085615469,76.4324309117872
"15 a 19 anos",2014,"F",31.6095497358362,82.221265116205
"15 a 19 anos",2014,"M",14.0526708800187,95.1610278008431
"15 a 19 anos",2015,"F",38.9201664468782,124.365168999641
"15 a 19 anos",2015,"M",17.1294940381439,137.89140802735
"15 a 19 anos",2016,"F",45.9034598340579,164.622134578839
"15 a 19 anos",2016,"M",19.6399427852029,172.7560797969
"15 a 19 anos",2017,"F",73.4125529176714,323.205277514674
"15 a 19 anos",2017,"M",28.9829019222268,302.50945717625
"15 a 19 anos",2018,"F",99.4611893480628,473.369247725128
"15 a 19 anos",2018,"M",38.2282824196019,430.907679527217
"15 a 19 anos",2019,"F",148.463908220044,755.857846949393
"15 a 19 anos",2019,"M",48.8490117878461,578.406505707538
"15 a 19 anos",2020,"F",102.925200508116,493.338418473737
"15 a 19 anos",2020,"M",36.2362054956613,403.242064694709
"15 a 19 anos",2021,"F",125.29027645172,622.267570167508
"15 a 19 anos",2021,"M",42.0112899142677,483.44542392761
"20 anos ou mais",2011,"F",7.11384466102679,0
"20 anos ou mais",2011,"M",5.07530304115929,0
"20 anos ou mais",2012,"F",9.92301930100454,39.4888386496238
"20 anos ou mais",2012,"M",6.68231494848371,31.6633685573451
"20 anos ou mais",2013,"F",11.5141793240991,61.8559284430199
"20 anos ou mais",2013,"M",8.07239400693078,59.0524534489057
"20 anos ou mais",2014,"F",13.5611685084743,90.630652687276
"20 anos ou mais",2014,"M",8.71753082004151,71.7637498558168
"20 anos ou mais",2015,"F",17.4404721969933,145.162398506408
"20 anos ou mais",2015,"M",11.501095360265,126.60903727313
"20 anos ou mais",2016,"F",18.8836277988633,165.448975886657
"20 anos ou mais",2016,"M",12.3684300475488,143.69835549216
"20 anos ou mais",2017,"F",26.2313025151647,268.735947509128
"20 anos ou mais",2017,"M",16.4555765486358,224.228453260538
"20 anos ou mais",2018,"F",33.0391471225856,364.434475264699
"20 anos ou mais",2018,"M",20.2261339901986,298.520715436502
"20 anos ou mais",2019,"F",43.9433813241532,517.71634633656
"20 anos ou mais",2019,"M",24.41926288857,381.139011612441
"20 anos ou mais",2020,"F",33.3108001378664,368.253127881182
"20 anos ou mais",2020,"M",20.7290489870517,308.429778851527
"20 anos ou mais",2021,"F",38.1201715417881,435.858925211419
"20 anos ou mais",2021,"M",23.4510498204884,362.062060734244
"10 a 14 anos",2011,"todos",4.52828032981207,0
"10 a 14 anos",2012,"todos",5.95695521595939,31.5500539297797
"10 a 14 anos",2013,"todos",7.43109930223494,64.1042241424867
"10 a 14 anos",2014,"todos",8.21172660385762,81.343159119268
"10 a 14 anos",2015,"todos",10.2295473727201,125.903579894857
"10 a 14 anos",2016,"todos",11.6182514873401,156.570941751353
"10 a 14 anos",2017,"todos",20.8658513623024,360.789744507013
"10 a 14 anos",2018,"todos",26.226856140392,479.179163615968
"10 a 14 anos",2019,"todos",38.0979468696239,741.333665206302
"10 a 14 anos",2020,"todos",23.9068515970767,427.945486053175
"10 a 14 anos",2021,"todos",36.6145968647915,708.576196657661
"15 a 19 anos",2011,"todos",12.1960959667184,0
"15 a 19 anos",2012,"todos",16.8404248126948,38.0804550788229
"15 a 19 anos",2013,"todos",20.4884237197375,67.9916571306735
"15 a 19 anos",2014,"todos",22.6898257654696,86.0417122609333
"15 a 19 anos",2015,"todos",27.8468162565198,128.325657099699
"15 a 19 anos",2016,"todos",32.5516509885147,166.902220820039
"15 a 19 anos",2017,"todos",50.8160361532628,316.658218268643
"15 a 19 anos",2018,"todos",68.3056511998517,460.061608126478
"15 a 19 anos",2019,"todos",97.7582490257001,701.553622507315
"15 a 19 anos",2020,"todos",68.9613771754467,465.438131707339
"15 a 19 anos",2021,"todos",82.8610113314569,579.406029253738
"20 anos ou mais",2011,"todos",6.12149483706639,0
"20 anos ou mais",2012,"todos",8.34593227152332,36.3381411512053
"20 anos ou mais",2013,"todos",9.83971038642047,60.7403199434203
"20 anos ou mais",2014,"todos",11.2053133368294,83.0486447359211
"20 anos ou mais",2015,"todos",14.5523963716807,137.726188766249
"20 anos ou mais",2016,"todos",15.7162947930318,156.739492743958
"20 anos ou mais",2017,"todos",21.4799023066531,250.893088671572
"20 anos ou mais",2018,"todos",26.812728611224,338.0094948193
"20 anos ou mais",2019,"todos",34.4574555286847,462.892830032962
"20 anos ou mais",2020,"todos",27.1989909425485,344.319429591859
"20 anos ou mais",2021,"todos",30.9954390232381,406.337746714365
